ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	event_type	dPSI	event_id	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd
11	AT4G39420		chr4	+	18339979.0	18340102.0	18339715.0	18339902.0	18343003.0	18343126.0	11	80,178,86,73,73,44,53,82,26,84,143,119,107,24,76,88,86,218,17,171,124,68,67,66,135,121,103,140	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	107,125,102,98,140,97,196,139,170,116,90,108,67,63,107,49,182,64,27,41,142,158,313,102,32,139,245,39	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.0	SE	-0.0	SE_chr4_+_18339979-18340102-18339715-18339902-18343003-18343126												
12	AT4G39420		chr4	+	18339979.0	18342106.0	18339614.0	18339902.0	18343003.0	18343126.0	12	80,181,89,73,76,44,54,85,26,89,143,119,113,24,77,88,87,220,17,181,123,69,70,66,146,123,106,140	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	107,131,103,98,141,97,197,139,172,116,90,110,67,63,107,49,182,64,27,41,146,160,355,102,32,139,250,39	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.0	SE	-0.0	SE_chr4_+_18339979-18342106-18339614-18339902-18343003-18343126												
13	AT4G39420		chr4	+	18342642.0	18342718.0	18339979.0	18340102.0	18343003.0	18343126.0	13	33,91,52,5,52,21,30,56,7,29,16,11,30,10,14,7,22,53,0,20,53,32,30,25,58,33,11,16	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	39,50,59,56,57,45,111,97,72,51,11,21,16,14,30,13,46,16,11,14,56,41,85,35,0,22,78,22	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,0.898,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0	-0.004	SE	-0.004	SE_chr4_+_18342642-18342718-18339979-18340102-18343003-18343126												
14	AT4G39420		chr4	+	18342642.0	18342718.0	18339979.0	18342106.0	18343003.0	18343126.0	14	69,181,102,24,129,60,67,110,20,71,37,24,58,21,53,16,64,166,0,95,115,65,75,53,147,98,50,56	0,3,3,0,3,0,1,3,0,5,0,0,6,0,1,0,1,2,0,10,2,1,3,0,11,2,3,0	103,130,153,106,138,85,258,220,145,127,28,71,48,25,61,31,89,34,25,33,136,127,313,98,0,58,241,60	0,6,1,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,4,2,9,0,0,0,5,0	98	49	1.0	1.0	1.0,0.968,0.944,1.0,0.956,1.0,0.971,0.948,1.0,0.877,1.0,1.0,0.829,1.0,0.964,1.0,0.97,0.976,NA,0.826,0.966,0.97,0.926,1.0,0.87,0.961,0.893,1.0	1.0,0.915,0.987,1.0,0.986,1.0,0.992,1.0,0.973,1.0,1.0,0.947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.944,0.969,0.946,1.0,NA,1.0,0.96,1.0	-0.03	SE	-0.03	SE_chr4_+_18342642-18342718-18339979-18342106-18343003-18343126												
15	AT4G39270		chr4	+	18278856.0	18278985.0	18276310.0	18278768.0	18279065.0	18279088.0	15	76,147,45,24,66,82,45,72,41,53,33,32,44,5,57,34,47,116,17,81,130,76,68,43,116,152,49,72	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	84,105,166,175,138,107,211,166,164,110,35,37,58,25,53,83,112,16,51,25,161,104,361,90,28,49,189,58	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994,1.0,1.0,1.0,1.0,1.0	0.0	SE	0.0	SE_chr4_+_18278856-18278985-18276310-18278768-18279065-18279088												
16	AT4G39270		chr4	+	18278856.0	18278985.0	18276310.0	18278768.0	18279162.0	18279941.0	16	38,67,15,8,23,42,33,22,12,27,16,10,21,0,30,19,27,60,7,48,68,28,35,17,33,82,17,36	0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	32,55,52,82,63,50,87,81,62,38,20,16,25,13,31,41,33,6,15,11,66,48,140,30,14,27,68,20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,0.918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.003	SE	-0.003	SE_chr4_+_18278856-18278985-18276310-18278768-18279162-18279941												
17	AT4G39270		chr4	+	18278856.0	18279088.0	18276367.0	18278768.0	18279162.0	18279992.0	17	53,101,22,15,35,49,30,33,18,37,19,18,26,9,32,22,31,84,19,58,83,40,51,28,48,94,25,46	0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	48,76,68,109,76,76,114,113,80,58,22,22,33,18,37,43,57,7,20,11,90,68,177,49,16,41,135,30	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,0.944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.002	SE	-0.002	SE_chr4_+_18278856-18279088-18276367-18278768-18279162-18279992												
18	AT4G39270		chr4	+	18279065.0	18279088.0	18276310.0	18278768.0	18279162.0	18279898.0	18	14,30,6,7,12,7,4,11,5,8,3,8,5,6,2,3,4,19,12,7,12,10,13,11,14,11,8,10	0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,21,16,26,10,22,26,32,15,18,2,6,7,5,6,2,20,1,4,0,24,18,34,18,2,12,65,8	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	72	49	1.0	1.0	1.0,0.872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.005	SE	-0.005	SE_chr4_+_18279065-18279088-18276310-18278768-18279162-18279898												
19	AT4G39270		chr4	+	18279065.0	18279088.0	18276310.0	18278985.0	18279162.0	18279898.0	19	52,110,35,21,55,43,23,57,34,34,20,30,27,11,27,18,24,75,22,40,73,58,46,33,96,77,40,45	0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	65,70,124,115,84,79,150,114,114,88,16,23,40,17,28,44,99,11,39,14,119,71,251,77,16,33,180,44	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	72	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.968	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.012	SE	-0.012	SE_chr4_+_18279065-18279088-18276310-18278985-18279162-18279898												
20	AT4G39100	SHL	chr4	-	18219633.0	18219979.0	18219335.0	18219404.0	18220061.0	18220324.0	20	399,1002,446,195,426,277,252,476,228,393,206,269,342,36,321,116,351,533,19,527,762,383,447,442,720,773,228,458	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	484,736,756,512,644,673,1011,782,828,644,204,318,319,156,395,187,456,134,191,153,727,647,1664,667,154,266,1463,300	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.0	SE	0.0	SE_chr4_-_18219633-18219979-18219335-18219404-18220061-18220324												
21	AT4G39090	RD19A	chr4	-	18216634.0	18216754.0	18215541.0	18216353.0	18216867.0	18217616.0	21	5902,8819,5070,3437,4684,4658,2522,6421,3104,4498,6555,5002,5076,2090,4636,5135,4679,10232,316,7852,8722,5104,6508,5090,10487,12147,8873,8362	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0	5819,9240,6272,5887,7588,6664,10069,7991,11718,5850,4682,6190,4529,4745,7000,2562,6317,3249,3615,2917,10953,9401,21482,8585,2137,7983,22043,5867	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,1.0,0.999,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.0	SE	-0.0	SE_chr4_-_18216634-18216754-18215541-18216353-18216867-18217616												
22	AT4G39050	KIN7D	chr4	+	18200062.0	18200160.0	18199838.0	18199968.0	18200506.0	18200828.0	22	93,193,128,35,113,37,79,138,36,149,51,39,116,7,105,30,85,209,2,219,108,73,89,47,123,234,69,113	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0	96,181,140,70,107,120,334,155,112,192,40,77,84,43,61,45,200,27,40,32,169,283,354,176,19,113,311,66	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.003	SE	-0.003	SE_chr4_+_18200062-18200160-18199838-18199968-18200506-18200828												
23	AT4G38760		chr4	-	18088138.0	18088197.0	18087560.0	18087942.0	18088303.0	18088411.0	23	20,87,26,12,26,22,22,29,22,29,9,13,19,2,22,0,23,41,14,40,49,33,31,17,38,40,2,27	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	17,51,56,42,36,54,73,69,51,32,5,26,26,16,26,4,33,4,10,10,68,48,121,47,6,10,114,31	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0	0.001	SE	0.001	SE_chr4_-_18088138-18088197-18087560-18087942-18088303-18088411												
