ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	event_type	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd	dPSI
1987	AT3G26890		chr3	-	9910872.0	9910944.0	9909317.0	9910792.0	9911606.0	9911790.0	1987	3,5,12,2,6,4,9,3,4,0,5,7	5,8,11,19,17,12,11,7,34,20,29,11	14,9,2,1,22,8,8,36	17,10,6,3,5,17,12,16	222	150	0.000460351646461	0.0176613496303664	0.288,0.297,0.424,0.066,0.193,0.184,0.356,0.225,0.074,0.0,0.104,0.301	0.358,0.378,0.184,0.184,0.748,0.241,0.311,0.603	-0.167	SE													-0.167
2154	AT1G55915		chr1	+	20910065.0	20910171.0	20909237.0	20909932.0	20910617.0	20910829.0	2154	20,26,2,11,46,20,8,17,8,17,7,17	11,0,0,0,5,0,0,7,0,1,0,2	23,26,18,17,8,16,14,20	17,4,5,3,1,6,3,5	256	150	0.000183511572478	0.0093985366091536	0.516,1.0,1.0,1.0,0.844,1.0,1.0,0.587,1.0,0.909,1.0,0.833	0.442,0.792,0.678,0.769,0.824,0.61,0.732,0.701	0.197	SE													0.197
2312	AT1G18750	AGL65	chr1	+	6468056.0	6468075.0	6467897.0	6467957.0	6468165.0	6468230.0	2312	47,48,47,74,41,54,72,13,72,42,39,31	2,5,4,4,1,4,6,0,2,0,5,0	29,25,18,40,19,16,8,25	0,9,12,6,1,1,0,8	169	150	8.50789324747e-05	0.0049077110522247	0.954,0.895,0.913,0.943,0.973,0.923,0.914,1.0,0.97,1.0,0.874,1.0	1.0,0.711,0.571,0.855,0.944,0.934,1.0,0.735	0.103	SE													0.103
2746	AT5G48880	KAT5	chr5	-	19816922.0	19817029.0	19816740.0	19816805.0	19817772.0	19817831.0	2746	226,211,255,177,350,240,363,323,192,105,533,130	158,134,301,274,254,175,364,311,322,32,563,132	273,259,317,416,311,307,211,188	229,361,200,309,0,6,5,2	257	150	1.70663193577e-08	3.74093720320784e-06	0.455,0.479,0.331,0.274,0.446,0.445,0.368,0.377,0.258,0.657,0.356,0.365	0.41,0.295,0.481,0.44,1.0,0.968,0.961,0.982	-0.291	SE													-0.291
2747	AT5G48880	KAT5	chr5	-	19816922.0	19817121.0	19816740.0	19816805.0	19817772.0	19817911.0	2747	312,294,371,282,469,354,506,415,266,133,741,197	158,134,301,274,254,175,364,311,322,32,563,132	395,353,411,544,445,431,254,267	229,361,200,309,0,6,5,2	300	150	7.93160759294e-09	2.0697718861576764e-06	0.497,0.523,0.381,0.34,0.48,0.503,0.41,0.4,0.292,0.675,0.397,0.427	0.463,0.328,0.507,0.468,1.0,0.973,0.962,0.985	-0.267	SE													-0.267
2841	AT5G47455		chr5	+	19251657.0	19251704.0	19251077.0	19251196.0	19252203.0	19252383.0	2841	82,13,34,46,13,30,22,55,60,7,51,34	0,0,5,0,2,4,4,34,1,0,2,0	28,27,29,42,150,79,61,102	4,5,18,7,21,10,17,37	197	150	5.09129923032e-06	0.0004903957801463	1.0,1.0,0.838,1.0,0.832,0.851,0.807,0.552,0.979,1.0,0.951,1.0	0.842,0.804,0.551,0.82,0.845,0.857,0.732,0.677	0.135	SE													0.135
2842	AT5G47455		chr5	+	19251934.0	19251979.0	19251077.0	19251196.0	19252203.0	19252364.0	2842	7,8,6,10,15,36,5,17,9,20,16,9	0,0,5,0,2,4,4,34,1,0,2,0	11,14,8,9,44,45,24,21	4,5,18,7,21,10,17,37	195	150	2.15147996846e-05	0.0015513302930474	1.0,1.0,0.48,1.0,0.852,0.874,0.49,0.278,0.874,1.0,0.86,1.0	0.679,0.683,0.255,0.497,0.617,0.776,0.521,0.304	0.268	SE													0.268
3249	AT1G50970		chr1	+	18899051.0	18899111.0	18898881.0	18898986.0	18899415.0	18899478.0	3249	58,39,68,96,48,60,134,62,23,25,78,45	27,10,5,10,4,22,2,0,0,7,19,3	45,40,48,54,16,27,20,40	12,18,25,21,22,0,5,13	210	150	0.000192961435438	0.0097011804238554	0.605,0.736,0.907,0.873,0.896,0.661,0.98,1.0,1.0,0.718,0.746,0.915	0.728,0.613,0.578,0.647,0.342,1.0,0.741,0.687	0.169	SE													0.169
3259	AT1G22180		chr1	-	7829670.0	7829751.0	7829379.0	7829556.0	7830150.0	7830424.0	3259	41,70,166,158,52,151,139,71,60,373,179,103	23,9,12,48,2,29,38,0,14,31,44,27	108,113,111,121,52,52,22,52	9,5,6,13,0,2,2,0	231	150	3.39527516102e-08	6.645038529424857e-06	0.537,0.835,0.9,0.681,0.944,0.772,0.704,1.0,0.736,0.887,0.725,0.712	0.886,0.936,0.923,0.858,1.0,0.944,0.877,1.0	-0.142	SE													-0.142
3523	AT1G33615		chr1	-	12194172.0	12194261.0	12193811.0	12193938.0	12194350.0	12194413.0	3523	10,3,4,3,4,8,6,36,5,9,4,18	5,0,0,0,2,0,0,4,0,0,10,0	18,7,11,3,6,11,18,2	0,0,0,0,0,0,0,0	239	150	0.000547231163443	0.0202623430788354	0.557,1.0,1.0,1.0,0.557,1.0,1.0,0.85,1.0,1.0,0.201,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.153	SE													-0.153
3647	AT1G27630	CYCT1-3	chr1	+	9612008.0	9612429.0	9611479.0	9611876.0	9612589.0	9612671.0	3647	79,96,53,65,38,63,68,30,68,50,46,27	62,63,124,143,72,121,159,114,106,182,99,86	49,46,31,45,268,214,204,226	115,118,59,67,89,128,138,119	300	150	0.00112777118407	0.0357236190098474	0.389,0.432,0.176,0.185,0.209,0.207,0.176,0.116,0.243,0.121,0.189,0.136	0.176,0.163,0.208,0.251,0.601,0.455,0.425,0.487	-0.131	SE													-0.131
3985	AT5G65685		chr5	-	26275748.0	26275857.0	26275480.0	26275514.0	26277561.0	26278112.0	3985	139,58,62,57,99,89,65,117,140,36,111,75	4,0,15,9,9,21,28,7,13,11,27,17	85,99,83,150,153,233,157,141	4,23,10,10,7,6,0,0	259	150	1.65378861416e-06	0.0002012540109364	0.953,1.0,0.705,0.786,0.864,0.711,0.573,0.906,0.862,0.655,0.704,0.719	0.925,0.714,0.828,0.897,0.927,0.957,1.0,1.0	-0.119	SE													-0.119
4088	AT3G25013		chr3	+	9115461.0	9115807.0	9115002.0	9115178.0	9116053.0	9116236.0	4088	10,21,80,62,19,38,32,29,47,24,29,36	0,0,0,0,2,3,1,0,0,0,0,0	41,59,42,43,10,9,37,7	2,2,0,7,4,0,0,1	300	150	0.000244287511273	0.0117429435243512	1.0,1.0,1.0,1.0,0.826,0.864,0.941,1.0,1.0,1.0,1.0,1.0	0.911,0.937,1.0,0.754,0.556,1.0,1.0,0.778	0.102	SE													0.102
4167	AT5G19900		chr5	-	6727976.0	6728095.0	6727379.0	6727652.0	6728276.0	6730397.0	4167	70,40,47,48,31,83,44,35,70,12,65,73	17,12,2,19,8,10,2,15,26,0,10,14	30,45,47,79,53,35,5,10	22,21,29,14,12,13,2,15	269	150	0.00119067496933	0.037285136182448	0.697,0.65,0.929,0.585,0.684,0.822,0.925,0.565,0.6,1.0,0.784,0.744	0.432,0.544,0.475,0.759,0.711,0.6,0.582,0.271	0.202	SE													0.202
4885	AT4G26480		chr4	-	13374132.0	13374272.0	13373541.0	13373655.0	13374882.0	13374968.0	4885	348,317,250,470,456,601,543,301,461,237,321,433	86,95,117,109,86,73,103,68,114,108,130,123	497,525,558,707,733,623,504,563	115,121,68,94,93,61,41,89	290	150	5.72441566371e-08	1.0119289624880904e-05	0.677,0.633,0.525,0.69,0.733,0.81,0.732,0.696,0.677,0.532,0.561,0.645	0.691,0.692,0.809,0.796,0.803,0.841,0.864,0.766	-0.124	SE													-0.124
4946	AT5G56140		chr5	+	22726609.0	22726755.0	22726166.0	22726252.0	22727167.0	22727281.0	4946	543,672,378,419,682,772,440,489,575,326,522,409	193,114,281,270,147,281,313,154,194,173,203,248	673,767,763,704,688,661,739,745	172,235,233,234,156,133,71,116	296	150	6.25655462383e-06	0.0005714319889764	0.588,0.749,0.405,0.44,0.702,0.582,0.416,0.617,0.6,0.488,0.566,0.455	0.665,0.623,0.624,0.604,0.691,0.716,0.841,0.765	-0.14	SE													-0.14
4974	AT5G65740		chr5	-	26303175.0	26303246.0	26302829.0	26302904.0	26303332.0	26303514.0	4974	17,9,21,4,9,7,9,21,8,2,19,12	5,11,15,18,14,17,2,7,19,2,2,15	5,6,8,9,5,7,3,8	20,3,7,16,25,37,15,27	221	150	0.00069057039062	0.0238007908213685	0.698,0.357,0.487,0.131,0.304,0.218,0.753,0.671,0.222,0.404,0.866,0.352	0.145,0.576,0.437,0.276,0.12,0.114,0.12,0.167	0.211	SE													0.211
5079	AT3G03690	UNE7	chr3	-	912269.0	912385.0	911213.0	911945.0	912596.0	912672.0	5079	308,155,363,341,338,205,271,306,303,192,403,215	29,6,53,2,43,49,40,23,20,2,43,8	260,322,249,292,202,173,133,179	46,42,14,45,36,42,44,27	266	150	2.46198312137e-06	0.0002698333501021	0.857,0.936,0.794,0.99,0.816,0.702,0.793,0.882,0.895,0.982,0.841,0.938	0.761,0.812,0.909,0.785,0.76,0.699,0.63,0.789	0.101	SE													0.101
5357	AT1G67900		chr1	+	25467031.0	25467159.0	25464725.0	25464987.0	25467618.0	25467795.0	5357	39,72,62,59,98,89,64,74,91,71,71,91	106,49,5,46,135,37,22,45,62,30,24,53	42,80,74,97,84,28,53,26	49,74,97,79,92,71,59,116	278	150	2.22457902782e-05	0.0015832068925264	0.166,0.442,0.87,0.409,0.281,0.565,0.611,0.47,0.442,0.561,0.615,0.481	0.316,0.368,0.292,0.398,0.33,0.175,0.326,0.108	0.204	SE													0.204
5541	AT3G18100	MYB4R1	chr3	+	6201272.0	6201304.0	6200562.0	6201154.0	6201639.0	6202112.0	5541	3,2,1,5,0,14,18,24,0,0,8,10	6,16,24,17,19,21,17,22,24,31,26,7	15,26,13,8,16,7,4,12	11,9,19,33,20,19,9,10	182	150	0.00080987738337	0.0270617564687048	0.292,0.093,0.033,0.195,0.0,0.355,0.466,0.473,0.0,0.0,0.202,0.541	0.529,0.704,0.361,0.167,0.397,0.233,0.268,0.497	-0.174	SE													-0.174
5658	AT3G05870	APC11	chr3	+	1753657.0	1754312.0	1753308.0	1753495.0	1754401.0	1754520.0	5658	3,17,20,14,24,14,24,28,8,8,23,29	0,0,0,2,1,0,0,0,2,0,0,0	22,12,5,21,3,10,11,19	4,0,0,0,6,16,2,2	300	150	5.06281749857e-09	1.5413466606757555e-06	1.0,1.0,1.0,0.778,0.923,1.0,1.0,1.0,0.667,1.0,1.0,1.0	0.733,1.0,1.0,1.0,0.2,0.238,0.733,0.826	0.231	SE													0.231
5660	AT3G05870	APC11	chr3	+	1753951.0	1754312.0	1753288.0	1753495.0	1754401.0	1754520.0	5660	7,23,28,30,30,45,41,36,22,23,52,41	0,0,0,2,1,0,0,0,2,0,0,0	35,23,13,23,18,32,32,31	4,0,0,0,6,16,2,2	300	150	5.090705634810001e-12	3.4871333598448505e-09	1.0,1.0,1.0,0.882,0.938,1.0,1.0,1.0,0.846,1.0,1.0,1.0	0.814,1.0,1.0,1.0,0.6,0.5,0.889,0.886	0.136	SE													0.136
5681	AT3G55850	LAF3	chr3	-	20724648.0	20724721.0	20724352.0	20724459.0	20724922.0	20725024.0	5681	42,91,84,132,103,115,109,44,20,39,86,78	14,41,16,39,10,50,30,19,36,23,27,55	97,98,126,88,82,146,169,145	28,11,27,39,25,20,23,27	223	150	0.00142489626955	0.0429034700941428	0.669,0.599,0.779,0.695,0.874,0.607,0.71,0.609,0.272,0.533,0.682,0.488	0.7,0.857,0.758,0.603,0.688,0.831,0.832,0.783	-0.13	SE													-0.13
57	AT4G29990		chr4	-							57	11,70,29,95,16,19,16,14,36,3,9,64	0,0,0,5,0,2,0,0,0,0,0,0	16,44,8,43,10,6,19,20	1,1,7,0,7,5,11,5	205	150	6.2172489378999994e-15	5.253575352525499e-12	1.0,1.0,1.0,0.933,1.0,0.874,1.0,1.0,1.0,1.0,1.0,1.0	0.921,0.97,0.455,1.0,0.511,0.468,0.558,0.745	0.28	A5SS	14666297.0	14666487.0	14666352.0	14666487.0	14665683.0	14666201.0							0.28
89	AT4G30820		chr4	+							89	9,5,32,12,25,14,11,25,15,17,13,18	26,40,35,38,35,35,54,40,48,51,25,47	3,4,15,4,15,21,3,17	35,54,51,67,50,57,29,51	207	150	8.47490671113e-05	0.0021335191982558	0.201,0.083,0.399,0.186,0.341,0.225,0.129,0.312,0.185,0.195,0.274,0.217	0.058,0.051,0.176,0.041,0.179,0.211,0.07,0.195	0.106	A5SS	15006647.0	15007268.0	15006647.0	15007211.0	15007601.0	15007675.0							0.106
184	AT4G35300	TMT2	chr4	-							184	36,27,44,43,16,52,171,43,49,5,182,69	31,18,36,26,14,23,55,24,42,0,97,12	43,44,9,56,10,31,12,12	42,31,38,27,21,19,27,17	181	150	0.00145763511663	0.0207008684630647	0.49,0.554,0.503,0.578,0.486,0.652,0.72,0.598,0.492,1.0,0.609,0.827	0.459,0.54,0.164,0.632,0.283,0.575,0.269,0.369	0.214	A5SS	16799424.0	16799635.0	16799455.0	16799635.0	16798992.0	16799167.0							0.214
363	AT2G43760	MOCS2	chr2	+							363	29,0,13,66,48,22,24,21,45,30,25,18	113,78,178,208,132,135,362,173,149,206,175,132	13,33,37,60,84,48,57,61	127,112,77,161,64,101,44,61	300	150	3.5991210012300005e-12	1.007882349009714e-09	0.114,0.0,0.035,0.137,0.154,0.075,0.032,0.057,0.131,0.068,0.067,0.064	0.049,0.128,0.194,0.157,0.396,0.192,0.393,0.333	-0.152	A5SS	18132483.0	18133081.0	18132483.0	18132693.0	18133188.0	18134068.0							-0.152
434	AT3G56730		chr3	+							434	18,16,31,13,37,33,11,20,10,3,13,12	0,2,11,0,3,1,3,0,3,0,12,8	17,54,18,31,23,23,16,29	0,1,0,5,2,2,0,0	189	150	1.57021744319e-05	0.0006285572812591	1.0,0.864,0.691,1.0,0.907,0.963,0.744,1.0,0.726,1.0,0.462,0.543	1.0,0.977,1.0,0.831,0.901,0.901,1.0,1.0	-0.126	A5SS	21014349.0	21014547.0	21014349.0	21014508.0	21014635.0	21015081.0							-0.126
567	AT5G02080		chr5	+							567	12,15,23,18,39,46,26,16,12,18,16,40	1,4,3,2,2,3,4,3,10,8,11,0	24,40,11,18,39,18,13,17	0,2,0,0,8,4,0,0	300	150	0.00215601441461	0.02802818738993	0.857,0.652,0.793,0.818,0.907,0.885,0.765,0.727,0.375,0.529,0.421,1.0	1.0,0.909,1.0,1.0,0.709,0.692,1.0,1.0	-0.186	A5SS	410161.0	410615.0	410161.0	410413.0	410720.0	410780.0							-0.186
598	AT1G79270	ECT8	chr1	+							598	3,12,6,16,7,4,0,4,4,35,18,0	10,5,8,32,18,32,20,14,16,20,69,14	0,13,4,1,0,0,0,1	9,11,36,7,3,6,8,14	300	150	0.00323702897836	0.0379901317599194	0.13,0.545,0.273,0.2,0.163,0.059,0.0,0.125,0.111,0.467,0.115,0.0	0.0,0.371,0.053,0.067,0.0,0.0,0.0,0.034	0.117	A5SS	29815505.0	29816515.0	29815505.0	29815873.0	29816606.0	29816677.0							0.117
636	AT1G70490	ARF2-A	chr1	-							636	0,4,2,4,19,3,11,19,24,1,5,0	2,9,13,11,12,31,14,20,2,4,2,7	9,4,13,2,4,6,0,1	21,20,23,20,33,35,26,31	166	150	0.00308153155907	0.0366745657382274	0.0,0.287,0.122,0.247,0.589,0.08,0.415,0.462,0.916,0.184,0.693,0.0	0.279,0.153,0.338,0.083,0.099,0.134,0.0,0.028	0.194	A5SS	26565301.0	26565849.0	26565317.0	26565849.0	26565004.0	26565161.0							0.194
642	AT5G37850	SOS4	chr5	+							642	93,138,72,151,171,168,120,100,150,250,87,111	113,112,106,180,170,247,139,151,211,68,102,140	142,109,140,121,136,138,55,146	184,202,175,201,221,213,219,259	183	150	0.000369755267184	0.0069431822393439	0.403,0.502,0.358,0.407,0.452,0.358,0.414,0.352,0.368,0.751,0.411,0.394	0.387,0.307,0.396,0.33,0.335,0.347,0.171,0.316	0.107	A5SS	15065299.0	15065512.0	15065299.0	15065479.0	15065604.0	15065701.0							0.107
787	AT3G29160	KIN11	chr3	-							787	191,270,233,321,213,326,324,238,228,244,318,176	22,50,8,35,43,46,16,31,31,22,42,38	259,234,167,337,189,198,210,194	27,41,59,64,50,56,24,64	298	150	6.22008878156e-05	0.0017816864475993	0.814,0.731,0.936,0.822,0.714,0.781,0.911,0.794,0.787,0.848,0.792,0.7	0.828,0.742,0.588,0.726,0.655,0.64,0.815,0.604	0.103	A5SS	11131808.0	11132105.0	11131956.0	11132105.0	11131317.0	11131513.0							0.103
816	AT1G06710		chr1	-							816	7,19,14,13,2,20,23,2,7,8,4,17	0,0,0,6,0,3,3,0,0,0,2,0	1,4,20,6,20,16,15,2	4,5,4,1,0,19,3,5	300	150	5.1641699661e-07	3.63643635112875e-05	1.0,1.0,1.0,0.52,1.0,0.769,0.793,1.0,1.0,1.0,0.5,1.0	0.111,0.286,0.714,0.75,1.0,0.296,0.714,0.167	0.377	A5SS	2056650.0	2057043.0	2056851.0	2057043.0	2056233.0	2056329.0							0.377
903	AT1G70630		chr1	+							903	23,2,8,16,37,7,11,6,3,12,28,2	0,4,2,4,21,15,0,4,9,0,0,12	17,21,20,13,5,5,16,6	21,11,13,6,15,16,10,24	271	150	0.00333026454911	0.0385489526575061	1.0,0.217,0.689,0.689,0.494,0.205,1.0,0.454,0.156,1.0,1.0,0.084	0.309,0.514,0.46,0.545,0.156,0.147,0.47,0.122	0.242	A5SS	26631150.0	26631471.0	26631150.0	26631350.0	26631553.0	26631924.0							0.242
953	AT1G14380	IQD28	chr1	-							953	0,1,4,1,4,8,0,2,5,0,4,1	17,12,6,14,30,22,5,28,25,16,12,12	2,0,9,10,6,7,0,12	16,6,26,12,4,5,46,16	300	150	0.000587778055277	0.0101436017462968	0.0,0.04,0.25,0.034,0.062,0.154,0.0,0.034,0.091,0.0,0.143,0.04	0.059,0.0,0.148,0.294,0.429,0.412,0.0,0.273	-0.131	A5SS	4921294.0	4921535.0	4921458.0	4921535.0	4920671.0	4920804.0							-0.131
967	AT5G48880	KAT5	chr5	-							967	329,310,403,288,494,389,537,449,285,133,777,211	158,134,301,274,254,175,364,311,322,32,563,132	412,370,423,552,446,431,254,267	229,361,200,309,0,6,5,2	300	150	1.09700816209e-08	1.5449531616100834e-06	0.51,0.536,0.401,0.344,0.493,0.526,0.425,0.419,0.307,0.675,0.408,0.444	0.474,0.339,0.514,0.472,1.0,0.973,0.962,0.985	-0.258	A5SS	19816922.0	19817955.0	19817772.0	19817955.0	19816740.0	19816805.0							-0.258
982	AT1G53160	SPL4	chr1	+							982	129,77,300,423,72,192,231,161,165,54,221,150	16,22,310,323,49,87,153,92,42,77,99,81	124,148,90,128,57,64,80,62	19,32,44,24,17,27,17,8	214	150	3.21658759679e-05	0.0010867603322562	0.85,0.71,0.404,0.479,0.507,0.607,0.514,0.551,0.734,0.33,0.61,0.565	0.821,0.764,0.589,0.789,0.702,0.624,0.767,0.845	-0.166	A5SS	19806854.0	19807087.0	19806854.0	19807023.0	19807342.0	19807655.0							-0.166
1034	AT1G27370	SPL10	chr1	-							1034	44,46,72,18,79,52,66,31,60,44,43,61	0,9,14,1,10,10,4,4,19,0,4,7	24,48,58,69,10,36,6,17	15,11,3,24,30,19,14,6	300	150	7.24419516429e-06	0.0003308835088554	1.0,0.719,0.72,0.9,0.798,0.722,0.892,0.795,0.612,1.0,0.843,0.813	0.444,0.686,0.906,0.59,0.143,0.486,0.176,0.586	0.316	A5SS	9507211.0	9508542.0	9508146.0	9508542.0	9506332.0	9507023.0							0.316
1038	AT1G06630		chr1	+							1038	6,4,13,7,22,0,6,4,16,16,2,16	22,44,21,34,32,18,12,29,33,24,17,15	0,10,1,1,6,11,1,8	43,39,26,47,31,41,37,46	296	150	9.45143522002e-07	5.915898341419926e-05	0.121,0.044,0.239,0.094,0.258,0.0,0.202,0.065,0.197,0.253,0.056,0.351	0.0,0.115,0.019,0.011,0.089,0.12,0.014,0.081	0.101	A5SS	2027605.0	2027962.0	2027605.0	2027816.0	2028052.0	2028976.0							0.101
1204	AT2G45500		chr2	-							1204	25,55,23,49,42,68,56,50,13,26,49,66	33,32,30,26,36,58,37,32,4,21,52,31	30,48,41,33,11,13,9,20	35,51,44,44,28,30,16,38	162	150	5.52331662699e-05	0.0016442142721125	0.412,0.614,0.415,0.636,0.519,0.521,0.584,0.591,0.751,0.534,0.466,0.663	0.442,0.466,0.463,0.41,0.267,0.286,0.342,0.328	0.183	A5SS	18752149.0	18752241.0	18752161.0	18752241.0	18752007.0	18752030.0							0.183
1221	AT3G06630		chr3	-							1221	0,0,1,0,2,4,15,0,0,0,0,1	13,12,12,6,1,7,18,10,5,2,4,13	0,16,11,0,7,12,11,2	10,2,19,5,22,23,21,3	300	150	9.36070894736e-05	0.0022926953798606	0.0,0.0,0.04,0.0,0.5,0.222,0.294,0.0,0.0,0.0,0.0,0.037	0.0,0.8,0.224,0.0,0.137,0.207,0.208,0.25	-0.137	A5SS	2070574.0	2070868.0	2070786.0	2070868.0	2070391.0	2070486.0							-0.137
1275	AT1G73170		chr1	-							1275	155,165,190,247,205,148,231,105,102,129,190,145	231,156,183,186,151,201,174,199,165,178,176,197	147,223,122,144,86,101,35,92	196,231,161,222,193,195,160,145	154	150	0.00137689320002	0.0198884573336222	0.395,0.507,0.503,0.564,0.569,0.418,0.564,0.339,0.376,0.414,0.513,0.418	0.422,0.485,0.425,0.387,0.303,0.335,0.176,0.382	0.101	A5SS	27514350.0	27514797.0	27514354.0	27514797.0	27514053.0	27514268.0							0.101
